breed_id,breed_name,deleted_at
00001,Affenpinscher,
00002,Africanis,
00003,Akita,
00004,American Bulldog,
00005,American Eskimo Dog,
00006,Anatolian Shepherd,
00008,Australian Cattle Dog,
00009,Australian Kelpie,
00010,Australian Shepherd,
00013,Australian Stumpy Tail Cattle Dog,
00014,Australian Terrier,
00016,Basenji,
00017,Basset Hound,
00019,Beagle,
00020,Belgian Malinois,
00021,Belgian Tervuren,
00022,Bichon Frise,
00023,Bloodhound,
00024,Border Collie,
00025,Border Terrier,
00026,Borzoi,
00027,Boston Terrier,
00028,Boxer,
00029,Brussels Griffon,
00030,Bull Terrier,
00031,Bulldog,
00032,Cairn Terrier,
00033,Cane Corso,
00034,Cardigan Welsh Corgi,
00035,Catahoula Leopard Dog,
00036,Chesapeake Bay Retriever,
00037,Chihuahua,
00038,Chinese Crested,
00039,Cocker Spaniel,
00041,Coton de Tulear,
00042,Dachshund,
00043,Doberman Pinscher,
00044,English Setter,
00046,English Springer Spaniel,
00047,English Toy Spaniel,
00048,Field Spaniel,
00049,Finnish Spitz,
00050,Flat-Coated Retriever,
00051,French Bulldog,
00052,German Shepherd,
00053,Giant Schnauzer,
00054,Golden Retriever,
00056,Gordon Setter,
00058,Great Dane,
00059,Great Pyrenees,
00060,Greyhound,
00062,Harrier,
00063,Irish Setter,
00065,Irish Terrier,
00066,Irish Water Spaniel,
00067,Irish Wolfhound,
00069,Italian Greyhound,
00070,Jack Russell Terrier,
00071,Japanese Chin,
00072,Keeshond,
00073,Kerry Blue Terrier,
00074,Kuvasz,
00075,Labrador Retriever,
00076,Lhasa Apso,
00077,Maltese,
00078,Mastiff,
00079,Miniature Pinscher,
00080,Miniature Poodle,
00081,Miniature Schnauzer,
00082,Miniature Shiba Inu,
00083,Newfoundland,
00084,Old English Sheepdog,
00085,Papillon,
00086,Pekingese,
00087,Pharaoh Hound,
00088,Pointer,
00089,Pomeranian,
00090,Poodle,
00091,Pug,
00093,Rhodesian Ridgeback,
00094,Rottweiler,
00095,Saint Bernard,
00096,Saluki,
00097,Samoyed,
00098,Scottish Deerhound,
00099,Shar Pei,
00100,Shetland Sheepdog,
00101,Shih Tzu,
00102,Siberian Husky,
00103,Staffordshire Bull Terrier,
00104,Standard Poodle,
00105,Standard Schnauzer,
00106,Toy Poodle,
00107,Vizsla,
00108,Weimaraner,
00109,Welsh Corgi,
00110,Welsh Springer Spaniel,
00111,Welsh Terrier,
00112,West Highland White Terrier,
00114,Whippet,
00115,Wirehaired Pointing Griffon,
00116,Xoloitzcuintli,
00117,Yorkshire Terrier,
